subject,method,dino,clip_i,clip_t,trainable_params,trainable_pct,train_time_sec,peak_vram_gb,ckpt_size_mb,max_train_steps,lora_rank,prior_loss_weight,results_dir,model_dir
backpack,base,0.18948575854301453,0.6552752256393433,0.33137535117566586,,,,,,,,,results\backpack_base_results,
backpack,full,0.41476941108703613,0.7769331336021423,0.3199027478694916,859520964,100.0,709.693281173706,11.946989056,4268.723377,1000,,1.0,results\backpack_full_results,results\backpack_full
backpack,lora,0.4508536756038666,0.7654940485954285,0.3370950883254409,2390016,0.27729267354269,538.0652875900269,7.610443264,9.627194,1000,16,1.0,results\backpack_lora_results,results\backpack_lora
bear_plushie,base,0.3376219868659973,0.5958525538444519,0.343888022005558,,,,,,,,,results\bear_plushie_base_results,
bear_plushie,full,0.632239043712616,0.714739978313446,0.33622461929917336,859520964,100.0,730.9296953678131,11.946989056,4268.723377,1000,,1.0,results\bear_plushie_full_results,results\bear_plushie_full
bear_plushie,lora,0.5921081304550171,0.6969925761222839,0.3437660504132509,2390016,0.27729267354269,558.0160183906555,7.610443264,9.627194,1000,16,1.0,results\bear_plushie_lora_results,results\bear_plushie_lora
cat,base,0.4313264787197113,0.7254598140716553,0.33726186864078045,,,,,,,,,results\cat_base_results,
cat,full,0.7255316376686096,0.8147427439689636,0.3199835382401943,859520964,100.0,724.8949675559998,11.946989056,4268.723377,1000,,1.0,results\cat_full_results,results\cat_full
cat,lora,0.5479649901390076,0.7616078853607178,0.3157556476071477,2390016,0.27729267354269,539.383439540863,7.610443264,9.627194,1000,16,1.0,results\cat_lora_results,results\cat_lora
dog,base,0.1927012950181961,0.6679019331932068,0.3436546423472464,,,,,,,,,results\dog_base_results,
dog,full,0.6472843885421753,0.7930869460105896,0.3261354472488165,859520964,100.0,704.6220140457153,11.946989056,4268.723377,1000,,1.0,results\dog_full_results,results\dog_full
dog,lora,0.4774618148803711,0.7504947781562805,0.34118476044386625,2390016,0.27729267354269,534.9675891399384,7.610443264,9.627194,1000,16,1.0,results\dog_lora_results,results\dog_lora
